id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1858677772224250363,"Te invito a leer mi columna de esta semana para @Milenio, en la que explico a fondo 3 realidades que campean en la vida nacional.

Puedes consultarla aquí. 👇

https://t.co/ODJd9DBnaE https://t.co/u33QuzPl3A",https://x.com/DiegoFC/status/1858677772224250363,tweet,Diego Fernández de Cevallos,@DiegoFC,83,0,144,409,8880,10,2024-11-18 19:04:48,https://pbs.twimg.com/media/GctZlMEWwAEUtOa.jpg,
1857496915149205557,"La flamante emperatriz mexicana se mostró indignada porque le han llamado “piedra” a la que se llama Piedra y acaban de reelegir al frente de la CNDH, pero no dijo ni “pío” cuando TARTUFO la llamó a ella burlonamente “corcholata” y “Carlota Primera”. Eso es no tener congruencia ni vergüenza.",https://x.com/DiegoFC/status/1857496915149205557,tweet,Diego Fernández de Cevallos,@DiegoFC,1073,61,2024,5649,99629,53,2024-11-15 12:52:29,,
1857147822375637134,Los perversos dominan sólo donde hay víctimas agachonas. Te invito a leer mi columna para Milenio aquí: https://t.co/OzQAaZg8iR https://t.co/vYWkM7tAig,https://x.com/DiegoFC/status/1857147822375637134,tweet,Diego Fernández de Cevallos,@DiegoFC,91,9,254,632,10735,13,2024-11-14 13:45:19,https://pbs.twimg.com/media/GcXqGNxbEAArPl8.jpg,
1853908830356197611,"En mi columna de Milenio me refiero al lugar que tendrá TARTUFO en la historia. Te invito a leerla aquí:
https://t.co/gat07OJsJt https://t.co/6mtK4LW5p1",https://x.com/DiegoFC/status/1853908830356197611,tweet,Diego Fernández de Cevallos,@DiegoFC,476,20,873,2254,31126,39,2024-11-05 15:14:43,https://pbs.twimg.com/media/GbpoQN_WgAAc9Uw.jpg,
1853567801446859255,"Aunque mañana 8 ministros declaren la invalidez de una parte de la reforma al Poder Judicial (y el gobierno la acate) la población quedará indefensa ante los atropellos de los cuatroteros, porque al final de este mes pasará a retiro el ministro L. M. Aguilar, y la Corte no tendrá los 8 votos necesarios para declarar la inconstitucionalidad de ninguna ley. Así de grave. Veremos si la sociedad se humilla o se levanta.",https://x.com/DiegoFC/status/1853567801446859255,tweet,Diego Fernández de Cevallos,@DiegoFC,1034,102,2987,7848,238296,139,2024-11-04 16:39:36,,
1852490694713069831,México está siendo atropellado por la maldad de unos y la cobardía de otros; por eso los ciudadanos debemos alzar la voz y organizarnos para rescatar nuestros derechos y libertades. https://t.co/KTQcZpPss4,https://x.com/DiegoFC/status/1852490694713069831,tweet,Diego Fernández de Cevallos,@DiegoFC,1132,122,3148,6636,91452,66,2024-11-01 17:19:33,https://pbs.twimg.com/media/GbVed07WUAAQMK8.jpg,
1851023011802927148,Te invito a leer mi columna de esta semana en Milenio. Hablo sobre García Luna y los gobiernos de EEUU y México: https://t.co/Oe4xBzUKeq https://t.co/XG5JNOfd72,https://x.com/DiegoFC/status/1851023011802927148,tweet,Diego Fernández de Cevallos,@DiegoFC,89,6,220,607,17455,17,2024-10-28 16:07:31,https://pbs.twimg.com/media/GbAnnHhW0AE0lKS.jpg,
1848845413857501200,"La lucha no debe ser para morir por la libertad, sino para vivir con ella. Te invito a leer la columna completa: https://t.co/Tkh9sO2YIY https://t.co/La8tBo0Q9I",https://x.com/DiegoFC/status/1848845413857501200,tweet,Diego Fernández de Cevallos,@DiegoFC,168,11,626,1435,28476,30,2024-10-22 15:54:31,https://pbs.twimg.com/media/GahrGoyXkAAwk8k.jpg,
1847371720744980770,"En mi columna de esta semana para Milenio, hablé del falso legado histórico que nos mantiene como víctimas perpetuas. Te invito a leerla completa aquí: https://t.co/MCkdPD3Cqe https://t.co/soQ3vbl64s",https://x.com/DiegoFC/status/1847371720744980770,tweet,Diego Fernández de Cevallos,@DiegoFC,80,5,169,609,10101,16,2024-10-18 14:18:35,https://pbs.twimg.com/media/GaMuyOSbUAACJ-j.jpg,
1847109764582441129,"En este Día Internacional para la Erradicación de la Pobreza, recordemos que no hay peores enemigos de los pueblos que los gobiernos ineptos, corruptos y dilapidadores. Lo que se requiere son políticas públicas que generen riqueza y sea justamente distribuida. Los apoyos sociales suelen diseñarse para mantener a los pobres en su pobreza y usarlos como leva electoral.",https://x.com/DiegoFC/status/1847109764582441129,tweet,Diego Fernández de Cevallos,@DiegoFC,167,10,421,1326,22232,19,2024-10-17 20:57:40,https://pbs.twimg.com/amplify_video_thumb/1847109705132355584/img/w4lG_24rF8kHrPRU.jpg,https://video.twimg.com/amplify_video/1847109705132355584/vid/avc1/1080x1920/8a4uAepubn2Fj0To.mp4?tag=16
